# TCVN 6056 to Unicode mappings compiled from multiple versions of the Unihan database from
#   Unicode 3.1.1 or later. The character encoding described is incompatible with the one
#   described by Unihan databases from Unicode 3.1.0 or earlier; presumably the newer data is
#   the correct data.
#
0x5453	U+5F4A
0x5454	U+2B739
0x5455	U+5F62
0x5456	U+5F69
0x5457	U+5F6B
0x5458	U+5F6C
0x5459	U+5F6D
0x545A	U+5F71
0x545B	U+5F77
0x545C	U+5F79
0x545D	U+5F7C
0x545E	U+5F7E
0x545F	U+5F7F
0x5460	U+5F80
0x5461	U+5F81
0x5462	U+5F82
0x5463	U+5F85
0x5464	U+5F8A
0x5465	U+5F8B
0x5466	U+5F8C
0x5467	U+5F90
0x5468	U+5F92
0x5469	U+5F97
0x546A	U+5F98
0x546B	U+5F9E
0x546C	U+5FA0
0x546D	U+5FA1
0x546E	U+5FAC
0x546F	U+5FAE
0x5470	U+5FB5
0x5471	U+5FB7
0x5472	U+5FB9
0x5473	U+5FC3
0x5474	U+5FC5
0x5475	U+5FC9
0x5476	U+5FCC
0x5477	U+5FCD
0x5478	U+5FD1
0x5479	U+5FD2
0x547A	U+5FD6
0x547B	U+5FD7
0x547C	U+5FD8
0x547D	U+5FD9
0x547E	U+5FDD
0x5521	U+5FE0
0x5522	U+5FE4
0x5523	U+5FEB
0x5524	U+5FF1
0x5525	U+5FF5
0x5526	U+5FFD
0x5527	U+5FFF
0x5528	U+600D
0x5529	U+600E
0x552A	U+6012
0x552B	U+6016
0x552C	U+601C
0x552D	U+601D
0x552E	U+6025
0x552F	U+6027
0x5530	U+6028
0x5531	U+602B
0x5532	U+602F
0x5533	U+6033
0x5534	U+6035
0x5535	U+604B
0x5536	U+604D
0x5537	U+6050
0x5538	U+6055
0x5539	U+605C
0x553A	U+605F
0x553B	U+6068
0x553C	U+6069
0x553D	U+606A
0x553E	U+606C
0x553F	U+606D
0x5540	U+606F
0x5541	U+6081
0x5542	U+6085
0x5543	U+6089
0x5544	U+608C
0x5545	U+608D
0x5546	U+6094
0x5547	U+6097
0x5548	U+609B
0x5549	U+60A3
0x554A	U+60B2
0x554B	U+60B4
0x554C	U+60B6
0x554D	U+60BC
0x554E	U+60BD
0x554F	U+60C5
0x5550	U+60C7
0x5551	U+60CA
0x5552	U+60D1
0x5553	U+60D5
0x5554	U+60DA
0x5555	U+60DB
0x5556	U+60DC
0x5557	U+60E0
0x5558	U+60E1
0x5559	U+60E6
0x555A	U+60F1
0x555B	U+60F3
0x555C	U+60F4
0x555D	U+60F6
0x555E	U+60F7
0x555F	U+6100
0x5560	U+6101
0x5561	U+6106
0x5562	U+6108
0x5563	U+610D
0x5564	U+610F
0x5565	U+6115
0x5566	U+611A
0x5567	U+611F
0x5568	U+613F
0x5569	U+6144
0x556A	U+6147
0x556B	U+6148
0x556C	U+614B
0x556D	U+614C
0x556E	U+614E
0x556F	U+6155
0x5570	U+6158
0x5571	U+615A
0x5572	U+615B
0x5573	U+615F
0x5574	U+6162
0x5575	U+6163
0x5576	U+6164
0x5577	U+6168
0x5578	U+616B
0x5579	U+616E
0x557A	U+6170
0x557B	U+6175
0x557C	U+6177
0x557D	U+617C
0x557E	U+617E
0x5621	U+6182
0x5622	U+6191
0x5623	U+6194
0x5624	U+619A
0x5625	U+61A4
0x5626	U+61A8
0x5627	U+61AB
0x5628	U+61B2
0x5629	U+61B6
0x562A	U+61BE
0x562B	U+61C3
0x562C	U+61C7
0x562D	U+61C9
