# TCVN 5773 to Unicode mappings compiled from multiple versions of the Unihan database,
#   excluding those for the Compatibility Ideographs Supplement Unicode block.
#
0x3C45	U+711D
0x3C46	U+713E
0x3C47	U+242A2
0x3C48	U+242A6
0x3C49	U+242A7
0x3C4A	U+7120
0x3C4B	U+7129
0x3C4C	U+714F
0x3C4D	U+242F5
0x3C4E	U+3DDD
0x3C4F	U+242F8
0x3C50	U+24292
0x3C51	U+7168
0x3C52	U+242FB
0x3C53	U+2434E
0x3C54	U+242FE
0x3C55	U+3DDA
0x3C56	U+24343
0x3C57	U+2430B
0x3C58	U+24346
0x3C59	U+243E2
0x3C5A	U+24323
0x3C5B	U+2439C
0x3C5C	U+24351
0x3C5D	U+24376
0x3C5E	U+2438E
0x3C5F	U+24390
0x3C60	U+24392
0x3C61	U+24394
0x3C62	U+24395
0x3C63	U+71A3
0x3C64	U+2434A
0x3C65	U+71A8
0x3C66	U+71C9
0x3C67	U+243E4
0x3C68	U+243E7
0x3C69	U+71B7
0x3C6A	U+71F0
0x3C6B	U+2441A
0x3C6C	U+2441B
0x3C6D	U+2441C
0x3C6E	U+71F6
0x3C6F	U+71EB
0x3C70	U+2441D
0x3C71	U+7201
0x3C72	U+2446B
0x3C73	U+2446D
0x3C74	U+2445F
0x3C75	U+2446F
0x3C76	U+24498
0x3C77	U+2C2D9
0x3C78	U+24478
0x3C79	U+2449F
0x3C7A	U+7219
0x3C7B	U+244E9
0x3C7C	U+244E2
