# "VHN 01:1998" to Unicode mappings compiled from multiple versions of the Unihan database,
#   excluding those for the Compatibility Ideographs Supplement Unicode block.
0x7968	U+237C2
0x7969	U+23736
0x796A	U+23737
0x796B	U+23738
0x796C	U+23745
0x796D	U+23749
0x796E	U+23782
0x796F	U+2C13A
0x7970	U+23740
0x7971	U+23784
0x7972	U+23785
0x7973	U+23613
0x7974	U+237B6
0x7975	U+237AA
0x7976	U+237BE
0x7977	U+237E9
0x7978	U+237EB
0x7979	U+23812
0x797A	U+23813
0x797B	U+23829
0x797C	U+23817
0x797D	U+23818
0x797E	U+23832
0x7A21	U+23833
0x7A22	U+2383A
0x7A23	U+2385D
0x7A24	U+23859
0x7A25	U+2385A
0x7A26	U+23864
0x7A27	U+2386F
0x7A28	U+23971
0x7A29	U+23986
0x7A2A	U+2399B
0x7A2B	U+239AE
0x7A2C	U+23A15
0x7A2D	U+23A2D
0x7A2E	U+23A2E
0x7A2F	U+23A41
0x7A30	U+23A78
0x7A31	U+23AD5
0x7A32	U+23AF2
0x7A33	U+23B43
0x7A34	U+23B70
0x7A35	U+23B87
0x7A36	U+23BE1
0x7A37	U+23C0F
0x7A38	U+23C33
0x7A39	U+23C34
0x7A3A	U+23C46
0x7A3B	U+28540
0x7A3C	U+23C6C
0x7A3D	U+23C76
0x7A3E	U+23C7D
0x7A3F	U+23C7F
0x7A40	U+23C8D
0x7A41	U+23CB9
0x7A42	U+23CE1
0x7A43	U+23CEA
0x7A44	U+3CDD
0x7A45	U+23D19
0x7A46	U+23D74
0x7A47	U+23D75
0x7A48	U+23D76
0x7A49	U+23D72
0x7A4A	U+23D88
0x7A4B	U+23DEE
0x7A4C	U+23DE0
0x7A4D	U+23DF1
0x7A4E	U+23DF3
0x7A4F	U+6DD6
0x7A50	U+23E54
0x7A51	U+23DF7
0x7A52	U+23E57
0x7A53	U+23E58
0x7A54	U+23E59
0x7A55	U+3D25
0x7A56	U+23EBB
0x7A57	U+23EBD
0x7A58	U+23F3C
0x7A59	U+23EC1
0x7A5A	U+23EC3
0x7A5B	U+23EC5
0x7A5C	U+23E5F
0x7A5D	U+23EC8
0x7A5E	U+23ED5
0x7A5F	U+23F2A
0x7A60	U+21C0F
0x7A61	U+23F30
0x7A63	U+23F36
0x7A64	U+23F37
0x7A65	U+23F39
0x7A66	U+23F3A
0x7A67	U+23F0D
0x7A68	U+23EFD
0x7A69	U+23F2B
0x7A6A	U+23F2E
0x7A6B	U+23F31
0x7A6C	U+23F34
0x7A6D	U+23ED7
0x7A6E	U+23F38
0x7A6F	U+23F46
0x7A70	U+23FB6
0x7A71	U+23FB9
0x7A72	U+23FBB
0x7A73	U+23F3E
0x7A74	U+23FBD
0x7A75	U+2401C
0x7A76	U+23FBF
0x7A77	U+23F40
0x7A78	U+3D63
0x7A79	U+3D67
0x7A7A	U+2400F
0x7A7B	U+24012
0x7A7C	U+24014
0x7A7D	U+24017
0x7A7E	U+24018
0x7B21	U+24019
0x7B22	U+24060
0x7B23	U+2401A
