04-66	0x2462	0xA4E2	U+3082	# も
04-67	0x2463	0xA4E3	U+3083	# ゃ
04-68	0x2464	0xA4E4	U+3084	# や
04-69	0x2465	0xA4E5	U+3085	# ゅ
04-70	0x2466	0xA4E6	U+3086	# ゆ
04-71	0x2467	0xA4E7	U+3087	# ょ
04-72	0x2468	0xA4E8	U+3088	# よ
04-73	0x2469	0xA4E9	U+3089	# ら
04-74	0x246A	0xA4EA	U+308A	# り
04-75	0x246B	0xA4EB	U+308B	# る
04-76	0x246C	0xA4EC	U+308C	# れ
04-77	0x246D	0xA4ED	U+308D	# ろ
04-78	0x246E	0xA4EE	U+308E	# ゎ
04-79	0x246F	0xA4EF	U+308F	# わ
04-80	0x2470	0xA4F0	U+3090	# ゐ
04-81	0x2471	0xA4F1	U+3091	# ゑ
04-82	0x2472	0xA4F2	U+3092	# を
04-83	0x2473	0xA4F3	U+3093	# ん
05-01	0x2521	0xA5A1	U+30A1	# ァ
05-02	0x2522	0xA5A2	U+30A2	# ア
05-03	0x2523	0xA5A3	U+30A3	# ィ
05-04	0x2524	0xA5A4	U+30A4	# イ
05-05	0x2525	0xA5A5	U+30A5	# ゥ
05-06	0x2526	0xA5A6	U+30A6	# ウ
05-07	0x2527	0xA5A7	U+30A7	# ェ
05-08	0x2528	0xA5A8	U+30A8	# エ
05-09	0x2529	0xA5A9	U+30A9	# ォ
05-10	0x252A	0xA5AA	U+30AA	# オ
05-11	0x252B	0xA5AB	U+30AB	# カ
05-12	0x252C	0xA5AC	U+30AC	# ガ
05-13	0x252D	0xA5AD	U+30AD	# キ
05-14	0x252E	0xA5AE	U+30AE	# ギ
05-15	0x252F	0xA5AF	U+30AF	# ク
05-16	0x2530	0xA5B0	U+30B0	# グ
05-17	0x2531	0xA5B1	U+30B1	# ケ
05-18	0x2532	0xA5B2	U+30B2	# ゲ
05-19	0x2533	0xA5B3	U+30B3	# コ
05-20	0x2534	0xA5B4	U+30B4	# ゴ
05-21	0x2535	0xA5B5	U+30B5	# サ
05-22	0x2536	0xA5B6	U+30B6	# ザ
05-23	0x2537	0xA5B7	U+30B7	# シ
05-24	0x2538	0xA5B8	U+30B8	# ジ
05-25	0x2539	0xA5B9	U+30B9	# ス
05-26	0x253A	0xA5BA	U+30BA	# ズ
05-27	0x253B	0xA5BB	U+30BB	# セ
05-28	0x253C	0xA5BC	U+30BC	# ゼ
05-29	0x253D	0xA5BD	U+30BD	# ソ
05-30	0x253E	0xA5BE	U+30BE	# ゾ
05-31	0x253F	0xA5BF	U+30BF	# タ
05-32	0x2540	0xA5C0	U+30C0	# ダ
05-33	0x2541	0xA5C1	U+30C1	# チ
05-34	0x2542	0xA5C2	U+30C2	# ヂ
05-35	0x2543	0xA5C3	U+30C3	# ッ
05-36	0x2544	0xA5C4	U+30C4	# ツ
05-37	0x2545	0xA5C5	U+30C5	# ヅ
05-38	0x2546	0xA5C6	U+30C6	# テ
05-39	0x2547	0xA5C7	U+30C7	# デ
05-40	0x2548	0xA5C8	U+30C8	# ト
05-41	0x2549	0xA5C9	U+30C9	# ド
05-42	0x254A	0xA5CA	U+30CA	# ナ
05-43	0x254B	0xA5CB	U+30CB	# ニ
05-44	0x254C	0xA5CC	U+30CC	# ヌ
05-45	0x254D	0xA5CD	U+30CD	# ネ
05-46	0x254E	0xA5CE	U+30CE	# ノ
05-47	0x254F	0xA5CF	U+30CF	# ハ
05-48	0x2550	0xA5D0	U+30D0	# バ
05-49	0x2551	0xA5D1	U+30D1	# パ
05-50	0x2552	0xA5D2	U+30D2	# ヒ
05-51	0x2553	0xA5D3	U+30D3	# ビ
05-52	0x2554	0xA5D4	U+30D4	# ピ
05-53	0x2555	0xA5D5	U+30D5	# フ
05-54	0x2556	0xA5D6	U+30D6	# ブ
05-55	0x2557	0xA5D7	U+30D7	# プ
05-56	0x2558	0xA5D8	U+30D8	# ヘ
05-57	0x2559	0xA5D9	U+30D9	# ベ
05-58	0x255A	0xA5DA	U+30DA	# ペ
05-59	0x255B	0xA5DB	U+30DB	# ホ
05-60	0x255C	0xA5DC	U+30DC	# ボ
05-61	0x255D	0xA5DD	U+30DD	# ポ
05-62	0x255E	0xA5DE	U+30DE	# マ
05-63	0x255F	0xA5DF	U+30DF	# ミ
05-64	0x2560	0xA5E0	U+30E0	# ム
05-65	0x2561	0xA5E1	U+30E1	# メ
05-66	0x2562	0xA5E2	U+30E2	# モ
05-67	0x2563	0xA5E3	U+30E3	# ャ
05-68	0x2564	0xA5E4	U+30E4	# ヤ
05-69	0x2565	0xA5E5	U+30E5	# ュ
05-70	0x2566	0xA5E6	U+30E6	# ユ
05-71	0x2567	0xA5E7	U+30E7	# ョ
05-72	0x2568	0xA5E8	U+30E8	# ヨ
05-73	0x2569	0xA5E9	U+30E9	# ラ
05-74	0x256A	0xA5EA	U+30EA	# リ
05-75	0x256B	0xA5EB	U+30EB	# ル
05-76	0x256C	0xA5EC	U+30EC	# レ
05-77	0x256D	0xA5ED	U+30ED	# ロ
05-78	0x256E	0xA5EE	U+30EE	# ヮ
05-79	0x256F	0xA5EF	U+30EF	# ワ
05-80	0x2570	0xA5F0	U+30F0	# ヰ
