# Unicode equivalents for the list markers encoding which has portions included in various
#   variants of the ChinaSea Big-5 extension set.

0x9A55	U+F861+0032+0031+002E	# 21.
0x9A56	U+F861+0032+0032+002E	# 22.
0x9A57	U+F861+0032+0033+002E	# 23.
0x9A58	U+F861+0032+0034+002E	# 24.
0x9A59	U+F861+0032+0035+002E	# 25.
0x9A5A	U+F861+0032+0036+002E	# 26.
0x9A5B	U+F861+0032+0037+002E	# 27.
0x9A5C	U+F861+0032+0038+002E	# 28.
0x9A5D	U+F861+0032+0039+002E	# 29.
0x9A5E	U+F861+0033+0030+002E	# 30.
0x9A5F	U+F861+0033+0031+002E	# 31.
0x9A60	U+F861+0033+0032+002E	# 32.
0x9A61	U+F861+0033+0033+002E	# 33.
0x9A62	U+F861+0033+0034+002E	# 34.
0x9A63	U+F861+0033+0035+002E	# 35.
0x9A64	U+F861+0033+0036+002E	# 36.
0x9A65	U+F861+0033+0037+002E	# 37.
0x9A66	U+F861+0033+0038+002E	# 38.
0x9A67	U+F861+0033+0039+002E	# 39.
0x9A68	U+F861+0034+0030+002E	# 40.
0x9A69	U+F861+0034+0031+002E	# 41.
0x9A6A	U+F861+0034+0032+002E	# 42.
0x9A6B	U+F861+0034+0033+002E	# 43.
0x9A6C	U+F861+0034+0034+002E	# 44.
0x9A6D	U+F861+0034+0035+002E	# 45.
0x9A6E	U+F861+0034+0036+002E	# 46.
0x9A6F	U+F861+0034+0037+002E	# 47.
0x9A70	U+F861+0034+0038+002E	# 48.
0x9A71	U+F861+0034+0039+002E	# 49.
