0x6F4B70	U+B10A	# HANGUL SYLLABLE NEOGG
0x6F4B71	U+B10B	# HANGUL SYLLABLE NEOGS
0x6F4B72	U+B10C	# HANGUL SYLLABLE NEON
0x6F4B73	U+B10F	# HANGUL SYLLABLE NEOD
0x6F4B74	U+B110	# HANGUL SYLLABLE NEOL
0x6F4B75	U+B113	# HANGUL SYLLABLE NEOLB
0x6F4B76	U+B118	# HANGUL SYLLABLE NEOM
0x6F4B77	U+B119	# HANGUL SYLLABLE NEOB
0x6F4B78	U+B11B	# HANGUL SYLLABLE NEOS
0x6F4B79	U+B11C	# HANGUL SYLLABLE NEOSS
0x6F4B7A	U+B11D	# HANGUL SYLLABLE NEONG
0x6F4B7B	U+B11E	# HANGUL SYLLABLE NEOJ
0x6F4B7C	U+B123	# HANGUL SYLLABLE NEOH
0x6F4B7D	U+B124	# HANGUL SYLLABLE NE
0x6F4B7E	U+B125	# HANGUL SYLLABLE NEG
0x6F4C21	U+B128	# HANGUL SYLLABLE NEN
0x6F4C22	U+B12C	# HANGUL SYLLABLE NEL
0x6F4C23	U+B134	# HANGUL SYLLABLE NEM
0x6F4C24	U+B135	# HANGUL SYLLABLE NEB
0x6F4C25	U+B137	# HANGUL SYLLABLE NES
0x6F4C26	U+B140	# HANGUL SYLLABLE NYEO
0x6F4C27	U+B141	# HANGUL SYLLABLE NYEOG
0x6F4C28	U+B144	# HANGUL SYLLABLE NYEON
0x6F4C29	U+B150	# HANGUL SYLLABLE NYEOM
0x6F4C2A	U+B151	# HANGUL SYLLABLE NYEOB
0x6F4C2B	U+B153	# HANGUL SYLLABLE NYEOS
0x6F4C2C	U+B154	# HANGUL SYLLABLE NYEOSS
0x6F4C2D	U+B155	# HANGUL SYLLABLE NYEONG
0x6F4C2E	U+B158	# HANGUL SYLLABLE NYEOK
0x6F4C2F	U+B15C	# HANGUL SYLLABLE NYE
0x6F4C30	U+B178	# HANGUL SYLLABLE NO
0x6F4C31	U+B179	# HANGUL SYLLABLE NOG
0x6F4C32	U+B17A	# HANGUL SYLLABLE NOGG
0x6F4C33	U+B17C	# HANGUL SYLLABLE NON
0x6F4C34	U+B180	# HANGUL SYLLABLE NOL
0x6F4C35	U+B188	# HANGUL SYLLABLE NOM
0x6F4C36	U+B189	# HANGUL SYLLABLE NOB
0x6F4C37	U+B18B	# HANGUL SYLLABLE NOS
0x6F4C38	U+B18D	# HANGUL SYLLABLE NONG
0x6F4C39	U+B192	# HANGUL SYLLABLE NOP
0x6F4C3A	U+B193	# HANGUL SYLLABLE NOH
0x6F4C3B	U+B194	# HANGUL SYLLABLE NWA
0x6F4C3C	U+B1A8	# HANGUL SYLLABLE NWASS
0x6F4C3D	U+B1CC	# HANGUL SYLLABLE NOE
0x6F4C3E	U+B1D0	# HANGUL SYLLABLE NOEN
0x6F4C3F	U+B1D4	# HANGUL SYLLABLE NOEL
0x6F4C40	U+B1DC	# HANGUL SYLLABLE NOEM
0x6F4C41	U+B1E8	# HANGUL SYLLABLE NYO
0x6F4C42	U+B1FD	# HANGUL SYLLABLE NYONG
0x6F4C43	U+B204	# HANGUL SYLLABLE NU
0x6F4C44	U+B205	# HANGUL SYLLABLE NUG
0x6F4C45	U+B208	# HANGUL SYLLABLE NUN
0x6F4C46	U+B20B	# HANGUL SYLLABLE NUD
0x6F4C47	U+B20C	# HANGUL SYLLABLE NUL
0x6F4C48	U+B213	# HANGUL SYLLABLE NULH
0x6F4C49	U+B214	# HANGUL SYLLABLE NUM
0x6F4C4A	U+B215	# HANGUL SYLLABLE NUB
0x6F4C4B	U+B217	# HANGUL SYLLABLE NUS
0x6F4C4C	U+B220	# HANGUL SYLLABLE NWEO
0x6F4C4D	U+B233	# HANGUL SYLLABLE NWEOS
0x6F4C4E	U+B234	# HANGUL SYLLABLE NWEOSS
0x6F4C4F	U+B258	# HANGUL SYLLABLE NWI
0x6F4C50	U+B25C	# HANGUL SYLLABLE NWIN
0x6F4C51	U+B260	# HANGUL SYLLABLE NWIL
