# Mapping for the PostScript variant of MacJapanese.
#
# For purposes of interoperability with Apple software, the below mapping is intended to match the
# output produced by Apple's own libraries when either PostScript variant of MacJapanese is
# converted. Not having access to the original Classic Mac equipment or printers, I cannot vouch
# for its historicity.
#
# This shows in general a greater affinity to NEC-C-6226 than to normal MacJapanese, but it has
# Apple-style vertical forms (including those of the NEC square Katakana abbreviations) in place of
# the NEC-selected IBM extensions, and also omits the halfwidth NEC extensions (and the Heisei era
# monogram, which presumably wouldn't have been included in NEC kit produced in the Shouwa era
# anyway, hence also its allocation separate from the other three in NEC-C-6226 / Windows-31J).
#
0x81B8	U+2208	# 2-26, ELEMENT OF
0x81B9	U+220b	# 2-27, CONTAINS AS MEMBER
0x81BA	U+2286	# 2-28, SUBSET OF OR EQUAL TO
0x81BB	U+2287	# 2-29, SUPERSET OF OR EQUAL TO
0x81BC	U+2282	# 2-30, SUBSET OF
0x81BD	U+2283	# 2-31, SUPERSET OF
0x81BE	U+222a	# 2-32, UNION
0x81BF	U+2229	# 2-33, INTERSECTION
0x81C8	U+2227	# 2-42, LOGICAL AND
0x81C9	U+2228	# 2-43, LOGICAL OR
0x81CA	U+00ac	# 2-44, NOT SIGN
0x81CB	U+21d2	# 2-45, RIGHTWARDS DOUBLE ARROW
0x81CC	U+21d4	# 2-46, LEFT RIGHT DOUBLE ARROW
0x81CD	U+2200	# 2-47, FOR ALL
0x81CE	U+2203	# 2-48, THERE EXISTS
0x81DA	U+2220	# 2-60, ANGLE
0x81DB	U+22a5	# 2-61, UP TACK
0x81DC	U+2312	# 2-62, ARC
0x81DD	U+2202	# 2-63, PARTIAL DIFFERENTIAL
0x81DE	U+2207	# 2-64, NABLA
0x81DF	U+2261	# 2-65, IDENTICAL TO
0x81E0	U+2252	# 2-66, APPROXIMATELY EQUAL TO OR THE IMAGE OF
0x81E1	U+226a	# 2-67, MUCH LESS-THAN
0x81E2	U+226b	# 2-68, MUCH GREATER-THAN
0x81E3	U+221a	# 2-69, SQUARE ROOT
0x81E4	U+223d	# 2-70, REVERSED TILDE
0x81E5	U+221d	# 2-71, PROPORTIONAL TO
0x81E6	U+2235	# 2-72, BECAUSE
0x81E7	U+222b	# 2-73, INTEGRAL
0x81E8	U+222c	# 2-74, DOUBLE INTEGRAL
0x81F0	U+212b	# 2-82, ANGSTROM SIGN
0x81F1	U+2030	# 2-83, PER MILLE SIGN
0x81F2	U+266f	# 2-84, MUSIC SHARP SIGN
0x81F3	U+266d	# 2-85, MUSIC FLAT SIGN
0x81F4	U+266a	# 2-86, EIGHTH NOTE
0x81F5	U+2020	# 2-87, DAGGER
0x81F6	U+2021	# 2-88, DOUBLE DAGGER
0x81F7	U+00b6	# 2-89, PILCROW SIGN
0x81FC	U+25ef	# 2-94, LARGE CIRCLE
0x824F	U+ff10	# 3-16, FULLWIDTH DIGIT ZERO
0x8250	U+ff11	# 3-17, FULLWIDTH DIGIT ONE
0x8251	U+ff12	# 3-18, FULLWIDTH DIGIT TWO
0x8252	U+ff13	# 3-19, FULLWIDTH DIGIT THREE
0x8253	U+ff14	# 3-20, FULLWIDTH DIGIT FOUR
0x8254	U+ff15	# 3-21, FULLWIDTH DIGIT FIVE
0x8255	U+ff16	# 3-22, FULLWIDTH DIGIT SIX
0x8256	U+ff17	# 3-23, FULLWIDTH DIGIT SEVEN
0x8257	U+ff18	# 3-24, FULLWIDTH DIGIT EIGHT
0x8258	U+ff19	# 3-25, FULLWIDTH DIGIT NINE
0x8260	U+ff21	# 3-33, FULLWIDTH LATIN CAPITAL LETTER A
0x8261	U+ff22	# 3-34, FULLWIDTH LATIN CAPITAL LETTER B
0x8262	U+ff23	# 3-35, FULLWIDTH LATIN CAPITAL LETTER C
0x8263	U+ff24	# 3-36, FULLWIDTH LATIN CAPITAL LETTER D
0x8264	U+ff25	# 3-37, FULLWIDTH LATIN CAPITAL LETTER E
0x8265	U+ff26	# 3-38, FULLWIDTH LATIN CAPITAL LETTER F
0x8266	U+ff27	# 3-39, FULLWIDTH LATIN CAPITAL LETTER G
0x8267	U+ff28	# 3-40, FULLWIDTH LATIN CAPITAL LETTER H
0x8268	U+ff29	# 3-41, FULLWIDTH LATIN CAPITAL LETTER I
0x8269	U+ff2a	# 3-42, FULLWIDTH LATIN CAPITAL LETTER J
0x826A	U+ff2b	# 3-43, FULLWIDTH LATIN CAPITAL LETTER K
0x826B	U+ff2c	# 3-44, FULLWIDTH LATIN CAPITAL LETTER L
0x826C	U+ff2d	# 3-45, FULLWIDTH LATIN CAPITAL LETTER M
0x826D	U+ff2e	# 3-46, FULLWIDTH LATIN CAPITAL LETTER N
0x826E	U+ff2f	# 3-47, FULLWIDTH LATIN CAPITAL LETTER O
0x826F	U+ff30	# 3-48, FULLWIDTH LATIN CAPITAL LETTER P
0x8270	U+ff31	# 3-49, FULLWIDTH LATIN CAPITAL LETTER Q
0x8271	U+ff32	# 3-50, FULLWIDTH LATIN CAPITAL LETTER R
0x8272	U+ff33	# 3-51, FULLWIDTH LATIN CAPITAL LETTER S
0x8273	U+ff34	# 3-52, FULLWIDTH LATIN CAPITAL LETTER T
0x8274	U+ff35	# 3-53, FULLWIDTH LATIN CAPITAL LETTER U
0x8275	U+ff36	# 3-54, FULLWIDTH LATIN CAPITAL LETTER V
0x8276	U+ff37	# 3-55, FULLWIDTH LATIN CAPITAL LETTER W
0x8277	U+ff38	# 3-56, FULLWIDTH LATIN CAPITAL LETTER X
0x8278	U+ff39	# 3-57, FULLWIDTH LATIN CAPITAL LETTER Y
0x8279	U+ff3a	# 3-58, FULLWIDTH LATIN CAPITAL LETTER Z
0x8281	U+ff41	# 3-65, FULLWIDTH LATIN SMALL LETTER A
0x8282	U+ff42	# 3-66, FULLWIDTH LATIN SMALL LETTER B
0x8283	U+ff43	# 3-67, FULLWIDTH LATIN SMALL LETTER C
0x8284	U+ff44	# 3-68, FULLWIDTH LATIN SMALL LETTER D
0x8285	U+ff45	# 3-69, FULLWIDTH LATIN SMALL LETTER E
0x8286	U+ff46	# 3-70, FULLWIDTH LATIN SMALL LETTER F
0x8287	U+ff47	# 3-71, FULLWIDTH LATIN SMALL LETTER G
0x8288	U+ff48	# 3-72, FULLWIDTH LATIN SMALL LETTER H
0x8289	U+ff49	# 3-73, FULLWIDTH LATIN SMALL LETTER I
0x828A	U+ff4a	# 3-74, FULLWIDTH LATIN SMALL LETTER J
0x828B	U+ff4b	# 3-75, FULLWIDTH LATIN SMALL LETTER K
0x828C	U+ff4c	# 3-76, FULLWIDTH LATIN SMALL LETTER L
0x828D	U+ff4d	# 3-77, FULLWIDTH LATIN SMALL LETTER M
0x828E	U+ff4e	# 3-78, FULLWIDTH LATIN SMALL LETTER N
0x828F	U+ff4f	# 3-79, FULLWIDTH LATIN SMALL LETTER O
0x8290	U+ff50	# 3-80, FULLWIDTH LATIN SMALL LETTER P
0x8291	U+ff51	# 3-81, FULLWIDTH LATIN SMALL LETTER Q
0x8292	U+ff52	# 3-82, FULLWIDTH LATIN SMALL LETTER R
0x8293	U+ff53	# 3-83, FULLWIDTH LATIN SMALL LETTER S
0x8294	U+ff54	# 3-84, FULLWIDTH LATIN SMALL LETTER T
0x8295	U+ff55	# 3-85, FULLWIDTH LATIN SMALL LETTER U
0x8296	U+ff56	# 3-86, FULLWIDTH LATIN SMALL LETTER V
