# Mapping for the non-Kanji, non-Hangul part of the Chinese Character Code for Information
#   Interchange (CCCII), otherwise known as the East Asian Character Code (EACC).
#   Those plane 73 mappings which can just be passed through to a JIS X 0208 table are omitted.
#   (I am aware that the non-Kanji part includes duplicates of certain Kanji.)
#
# Sources consulted (and referenced below):
#   Koha Taiwan supplied Encode::HanExtra mappings:
#     https://metacpan.org/source/AUDREYT/Encode-HanExtra-0.23
#   Library of Congress mappings:
#     http://memory.loc.gov/diglib/codetables/eacc2uni.txt
#   Hong Kong University mappings:
#     http://hkiug-archive.lib.hku.hk/unicode/hkiug_cjk_codetable-1.0.5.html
#   BDF font distributed by Yasuoka-san:
#     http://kanji.zinbun.kyoto-u.ac.jp/~yasuoka/ftp/fonts/cccii64.bdf.Z
#   Ken Lunde's CJK Information Processing (O'Reilly), 2009 ed. (though this did not contribute
#     mapping information in any way)

# Mathematical part. Excluded entirely by the Library of Congress subset. The Hong Kong University
#   variant includes an entirely different layout in this row instead. I am deviating from the
#   Koha Taiwan supplied Encode::HanExtra mappings by using a different mapping of the angle
#   bracket characters, thus de-duplicating them from the JIS angle brackets in plane 73, which are
#   favoured by the other mappings. I am also adding mappings for the characters omitted by the 
#   Koha mapping.
0x212B4D	U+3011	# RIGHT BLACK LENTICULAR BRACKET
0x212B4E	U+3016	# LEFT WHITE LENTICULAR BRACKET
0x212B4F	U+3017	# RIGHT WHITE LENTICULAR BRACKET

# Various symbols (currency, footnote, et cetera). Library of Congress and Hong Kong University
#   include only the slash here, while Koha excludes the slash (which they assign in row 3).
0x212B50	U+1F4B2	# HEAVY DOLLAR SIGN # Escudo sign; style different to 0x212324/0x212B51
0x212B51	U+FF04	# FULLWIDTH DOLLAR SIGN # stylistically similar to 0x212324
0x212B52	U+FFE0	# FULLWIDTH CENT SIGN
0x212B53	U+20A1	# COLON SIGN
0x212B54	U+FFE1	# FULLWIDTH POUND SIGN
0x212B55	U+FFE5	# FULLWIDTH YEN SIGN
0x212B56	U+20A8	# RUPEE SIGN
0x212B57	U+F860+0064+002E	# [Old Pence symbol?]
0x212B58	U+F860+0073+002E	# [Shilling symbol?]
0x212B59	U+FF0F	# FULLWIDTH SOLIDUS # presumably Shilling; LoC's selection for fullwidth slash
0x212B5A	U+FF03	# FULLWIDTH NUMBER SIGN
0x212B5B	U+FF05	# FULLWIDTH PERCENT SIGN
0x212B5C	U+214C	# PER SIGN
0x212B5D	U+FF20	# FULLWIDTH COMMERCIAL AT
0x212B5E	U+00B6	# PILCROW SIGN
0x212B5F	U+00AE	# REGISTERED SIGN
0x212B60	U+00A9	# COPYRIGHT SIGN
0x212B61	U+2105	# CARE OF
0x212B62	U+FF06	# FULLWIDTH AMPERSAND
0x212B63	U+00A7	# SECTION SIGN
0x212B64	U+2020	# DAGGER
0x212B65	U+2021	# DOUBLE DAGGER
0x212B66	U+FF0A	# FULLWIDTH ASTERISK

# Japanese kana dittos and postal mark, as well as a non sequitur alpha. Not in BDF, sourced only
#   from the Koha mappings.
0x212B70	U+30FD	# KATAKANA ITERATION MARK
0x212B71	U+30FE	# KATAKANA VOICED ITERATION MARK
0x212B72	U+309D	# HIRAGANA ITERATION MARK
0x212B73	U+309E	# HIRAGANA VOICED ITERATION MARK
0x212B74	U+03B1	# GREEK SMALL LETTER ALPHA
0x212B75	U+3012	# POSTAL MARK

# Classical radicals. This mapping was referenced mainly from the BDF file. Most mappings omit this
#   part, possibly due to predating or being unaware of the Kangxi Radicals block and seeing it as
#   more duplicate kanji? Notably, the Hong Kong University mappings include three which have
#   left-radical presentation forms in the URO, mapping to those ones (as does Unihan's kCCCII).
# Following the practice of even the current gov.tw mappings for CNS 11643 / CSIC in retaining URO
#   mappings for several of the radicals range (even though this amounts to not fully mapping the
#   Unicode Kangxi Radicals block), I've now decided to list the three URO mappings as primary.
0x212C22	U+2F00	# KANGXI RADICAL ONE
0x212C23	U+2F01	# KANGXI RADICAL LINE
0x212C24	U+2F02	# KANGXI RADICAL DOT
0x212C25	U+2F03	# KANGXI RADICAL SLASH
0x212C26	U+2F04	# KANGXI RADICAL SECOND
0x212C27	U+2F05	# KANGXI RADICAL HOOK
0x212C29	U+2F06	# KANGXI RADICAL TWO
0x212C2A	U+2F07	# KANGXI RADICAL LID
0x212C2B	U+2F08	# KANGXI RADICAL MAN
0x212C2C	U+2F09	# KANGXI RADICAL LEGS
0x212C2D	U+2F0A	# KANGXI RADICAL ENTER
0x212C2E	U+2F0B	# KANGXI RADICAL EIGHT
0x212C2F	U+2F0C	# KANGXI RADICAL DOWN BOX
0x212C30	U+2F0D	# KANGXI RADICAL COVER
0x212C31	U+2F0E	# KANGXI RADICAL ICE
0x212C32	U+2F0F	# KANGXI RADICAL TABLE
0x212C33	U+2F10	# KANGXI RADICAL OPEN BOX
0x212C34	U+2F11	# KANGXI RADICAL KNIFE
0x212C35	U+2F12	# KANGXI RADICAL POWER
0x212C36	U+2F13	# KANGXI RADICAL WRAP
0x212C37	U+2F14	# KANGXI RADICAL SPOON
0x212C38	U+2F15	# KANGXI RADICAL RIGHT OPEN BOX
0x212C39	U+2F16	# KANGXI RADICAL HIDING ENCLOSURE
0x212C3A	U+2F17	# KANGXI RADICAL TEN
0x212C3B	U+2F18	# KANGXI RADICAL DIVINATION
0x212C3C	U+2F19	# KANGXI RADICAL SEAL
0x212C3D	U+2F1A	# KANGXI RADICAL CLIFF
0x212C3E	U+2F1B	# KANGXI RADICAL PRIVATE
0x212C3F	U+2F1C	# KANGXI RADICAL AGAIN
0x212C41	U+2F1D	# KANGXI RADICAL MOUTH
0x212C42	U+2F1E	# KANGXI RADICAL ENCLOSURE
0x212C43	U+2F1F	# KANGXI RADICAL EARTH
0x212C44	U+2F20	# KANGXI RADICAL SCHOLAR
0x212C45	U+2F21	# KANGXI RADICAL GO
0x212C46	U+2F22	# KANGXI RADICAL GO SLOWLY
0x212C47	U+2F23	# KANGXI RADICAL EVENING
0x212C48	U+2F24	# KANGXI RADICAL BIG
0x212C49	U+2F25	# KANGXI RADICAL WOMAN
0x212C4A	U+2F26	# KANGXI RADICAL CHILD
0x212C4B	U+2F27	# KANGXI RADICAL ROOF
0x212C4C	U+2F28	# KANGXI RADICAL INCH
0x212C4D	U+2F29	# KANGXI RADICAL SMALL
0x212C4E	U+2F2A	# KANGXI RADICAL LAME
0x212C4F	U+2F2B	# KANGXI RADICAL CORPSE
0x212C50	U+2F2C	# KANGXI RADICAL SPROUT
0x212C51	U+2F2D	# KANGXI RADICAL MOUNTAIN
0x212C52	U+2F2E	# KANGXI RADICAL RIVER
0x212C53	U+2F2F	# KANGXI RADICAL WORK
0x212C54	U+2F30	# KANGXI RADICAL ONESELF
0x212C55	U+2F31	# KANGXI RADICAL TURBAN
0x212C56	U+2F32	# KANGXI RADICAL DRY
