# CNS 11643 plane 19 (corresponding to the IRG/Unihan source prefix "T13-").
# This file includes both those listed as IRG sources in the Unihan database, and also those
#   withdrawn from IRG working sets as unifiable with existing characters.
#
0x3722	U+31AE1
0x3725	U+31AE4
0x3726	U+31AE2
0x3727	U+31AEB
0x3728	U+31AE3
0x3729	U+31AE5
0x372A	U+31AF5
0x372B	U+31AF0
0x372C	U+31AF6
0x372E	U+31AF9
0x372F	U+31AF1
0x3730	U+31AF2
0x3731	U+31AF4
0x3732	U+31AFC
0x3733	U+31B06
0x3734	U+31B07
0x3735	U+31B08
0x3736	U+31B04
0x3737	U+31AFD
0x3738	U+31AFE
0x3739	U+31AFF
0x373A	U+31B0B
0x373B	U+31B0C
0x373D	U+31B10
0x373E	U+31B14
0x373F	U+31B1A
0x3740	U+31B1B
0x3741	U+31B22
0x3742	U+31B17
0x3743	U+24385
0x3744	U+31B20
0x3745	U+24467
0x3746	U+31B24
0x3747	U+31B27
0x3748	U+31B28
0x3749	U+31B29
0x374A	U+31B2C
0x374B	U+31B2D
0x374C	U+31B2F
0x374D	U+31B31
0x374E	U+31B30
0x374F	U+31B32
0x3751	U+31B33
0x3752	U+31B35
0x3753	U+31B37
0x3754	U+2002D
0x3755	U+31B3B
0x3756	U+31B3C
0x3757	U+31B3E
0x3758	U+31B42
0x3759	U+31B43
0x375A	U+31B45
0x375B	U+31B46
0x375C	U+31B47
0x375E	U+31B4B
0x375F	U+31B57
0x3760	U+31B58
0x3762	U+31B51
0x3763	U+31B54
0x3764	U+31B55
0x3765	U+31B56
0x3766	U+31B69
0x3769	U+31B78
0x376A	U+31B7B
0x376B	U+31B7D
0x376C	U+31B81
0x376D	U+31B8E
0x376E	U+31B88
0x376F	U+31B96
0x3770	U+31B93
0x3771	U+31B99
0x3772	U+31B9E
0x3773	U+31B9F
0x3774	U+31B9A
0x3775	U+31BA0
0x3776	U+31BA1
0x3777	U+31BA5
0x3778	U+31BA4
0x3779	U+31BA6
0x377A	U+31BA8
0x377C	U+31BA7
0x377D	U+31BA9
0x377E	U+737B
0x3821	U+31BAA
0x3822	U+31BAB
0x3823	U+31BAD
0x3824	U+248C9
0x3825	U+7378
0x3827	U+737B
0x382B	U+31BB9
0x382D	U+31BBC
0x382E	U+31BBB
0x382F	U+31BC0
0x3831	U+31BC1
0x3832	U+31BC8
0x3833	U+31BC5
0x3834	U+30883
0x3835	U+31BC9
0x3836	U+31BC3
0x3837	U+31BCA
0x3839	U+31BD2
0x383A	U+31BD0
0x383B	U+31BD3
0x383C	U+31BD6
0x383D	U+31BD7
0x383E	U+31BDB
0x383F	U+31BD4
0x3840	U+31BD5
0x3841	U+31BD8
0x3842	U+31BE0
0x3843	U+31BE1
0x3844	U+31BE2
0x3845	U+31BE3
0x3846	U+31BEF
0x3847	U+31BF3
0x3848	U+31BF0
0x3849	U+31BEB
0x384A	U+31BEC
0x384B	U+31BED
0x384C	U+31BF1
0x384D	U+31BF7
0x384E	U+74CC
0x384F	U+31BFA
0x3850	U+31BF8
0x3851	U+31BFB
0x3852	U+31BF6
0x3853	U+31BFE
0x3854	U+31BFF
0x3855	U+31C00
0x3856	U+31C02
0x3857	U+31C03
0x3858	U+31C04
0x3859	U+31C05
0x385A	U+31C07
0x385B	U+3F1D
0x385C	U+31C22
0x385E	U+31C28
0x385F	U+31C2C
0x3861	U+31C2F
0x3862	U+31C34
0x3863	U+31C35
0x3864	U+31C30
0x3865	U+31C32
0x3866	U+31C36
0x3868	U+31C3E
0x3869	U+31C3F
0x386A	U+31C44
0x386B	U+31C49
0x386C	U+75AB
0x386D	U+31C4F
0x386E	U+31C52
0x386F	U+24DA3
0x3870	U+31C59
0x3872	U+31C62
0x3873	U+31C68
0x3875	U+31C72
0x3876	U+31C75
0x3877	U+31C76
0x3878	U+31C77
0x3879	U+31C78
0x387A	U+31739
0x387B	U+31C8C
0x387C	U+31C8F
0x387D	U+31C90
0x387E	U+31C91
0x3922	U+6C14
0x3923	U+31C95
0x3924	U+31C97
0x3925	U+6C14
0x3926	U+31C96
0x3927	U+31C99
0x3928	U+31C9D
0x3929	U+31C9A
0x392A	U+31C9B
0x392B	U+31CA3
0x392C	U+31CA7
0x392D	U+31CA9
0x392E	U+31CA8
0x392F	U+31CAF
0x3930	U+31CAD
0x3931	U+31CB4
0x3932	U+31CB2
0x3934	U+31CBB
0x3935	U+31CC1
0x3936	U+775E
0x3938	U+31CC9
0x3939	U+31CCA
0x393A	U+31CCE
0x393B	U+31CCF
0x393C	U+31CCC
0x393D	U+31CD0
0x393E	U+31CD1
0x393F	U+31CD4
0x3940	U+31CD6
0x3942	U+31CD5
0x3943	U+31CD9
0x3944	U+31CDB
0x3945	U+31CE1
0x3946	U+31CE4
0x3947	U+31CEB
0x3948	U+31CF7
0x3949	U+31CF6
0x394A	U+31CF8
0x394B	U+31CFF
0x394C	U+31CFD
0x394D	U+31D05
0x394E	U+31D0A
0x394F	U+31D15
0x3950	U+31D16
0x3951	U+31D23
0x3953	U+31D1D
0x3954	U+31D26
0x3955	U+31D2B
0x3956	U+31D27
0x3957	U+31D2E
0x3958	U+77F3
0x3959	U+31D32
0x395A	U+31D3A
0x395C	U+31D42
0x395E	U+31D46
0x395F	U+31D47
0x3961	U+31D49
0x3962	U+31D4C
0x3963	U+31D4A
0x3964	U+31D48
0x3966	U+31D4F
0x3967	U+31D50
0x3968	U+31D51
0x3969	U+31D4D
0x396A	U+31D55
0x396B	U+31D5A
0x396C	U+31D5B
0x396E	U+31D58
0x396F	U+31D5D
0x3970	U+31D60
0x3971	U+31D5C
0x3972	U+31D5E
0x3973	U+31D66
0x3974	U+31D63
0x3975	U+31D64
0x3976	U+31D62
0x3978	U+31D67
0x397A	U+31D6A
0x397B	U+31D69
0x397C	U+31D6E
0x397D	U+31D6F
0x3A21	U+31D72
0x3A22	U+31D73
0x3A23	U+31D71
0x3A24	U+31D74
0x3A25	U+31D75
0x3A26	U+31D77
0x3A27	U+31D78
0x3A28	U+31D79
0x3A29	U+31D7A
